Frase,Sentimento,Confiança
Entrevistador:,4 stars,0.2594
"Oi mãe, tudo bem?",5 stars,0.2422
Estou a fazer um trabalho da universidade e precisava mesmo falar contigo.,5 stars,0.2786
"É só uma entrevista rápida, coisa de uns 20 minutos.",2 stars,0.3505
Pode ser?,2 stars,0.334
Entrevistado:,4 stars,0.2298
"Oi meu filho, tudo sim, graças a Deus!",5 stars,0.4083
"Claro que sim, diz lá.",1 star,0.3528
Entrevistador:,4 stars,0.2594
"Então, queria começar com uma pergunta mais emocional.",2 stars,0.4258
Que característica herdaste de um dos teus pais e da qual te sentes orgulhosa?,5 stars,0.3077
Entrevistado: Hmm… boa pergunta.,4 stars,0.3873
Acho que herdei da minha mãe a empatia.,5 stars,0.5849
"Ela era uma mulher de coração grande, mesmo sem ter muito, sempre ajudava os outros — família, vizinhos, até pessoas que ela nem conhecia bem.",5 stars,0.3867
E eu vejo isso em mim também.,5 stars,0.4623
Às vezes até demais (risos).,3 stars,0.4161
"Sempre fui de acolher, ouvir, preocupar-me com os outros.",5 stars,0.6305
"E sim, isso é algo que me dá muito orgulho, porque hoje em dia o mundo tá muito frio, muito egoísta.",5 stars,0.3588
Entrevistador:,4 stars,0.2594
É verdade…,5 stars,0.5788
"lembro bem de ti a cuidar de toda a gente, mesmo quando estavas cansada.",5 stars,0.5362
Entrevistado:,4 stars,0.2298
Pois é… a gente aprende com o exemplo.,4 stars,0.3894
"E ela foi o meu.
Entrevistador:",5 stars,0.5945
E agora ao contrário: tem alguma característica tua que tu achas que eu ou a minha irmã herdámos e que te deixa orgulhosa?,3 stars,0.4586
"Entrevistado: Ahhh, com certeza.",1 star,0.3069
A tua força de vontade.,5 stars,0.5151
"Sempre lutei pelos meus objetivos, mesmo quando tudo parecia difícil, eu nunca parei.",5 stars,0.7055
"E vejo isso em ti, Txelito.",5 stars,0.3341
"Saíste do país, estás a estudar, a trabalhar, a fazer tudo sozinho…",5 stars,0.4297
"isso é teu, mas também tem ali um bocadinho meu (risos).",3 stars,0.3936
"E sim, fico mesmo muito orgulhosa disso.
Entrevistador:",5 stars,0.2853
Aww mãe… agora fiquei com o coração apertado (risos).,1 star,0.354
"Entrevistador: Lembras-te de alguma situação que mostra bem essa força que tu passaste para nós?
Entrevistado:",3 stars,0.2572
Lembro sim.,3 stars,0.3267
"Quando chegaste em Portugal, sem muito dinheiro, sem casa certa, tudo incerto…",1 star,0.5599
"mesmo assim, tu não me pediste nada.",1 star,0.5394
"Tu desenrascaste-te, foste trabalhar, estudar, aguentaste.",5 stars,0.5788
E isso fez-me lembrar de quando eu fui viver com o teu pai.,5 stars,0.503
"Também queria estudar, mas tive de trabalhar logo.",3 stars,0.3323
"Depois engravidei da tua irmã, e mesmo assim consegui dar a volta.",5 stars,0.3252
Segui em frente mesmo cansada.,1 star,0.5256
"E essa força, essa coragem…",5 stars,0.6694
tá aí dentro de ti também.,5 stars,0.3801
Entrevistador:,4 stars,0.2594
"Sim, eu lembro que já me contaste isso, mas queria ouvir agora outra vez, pra poder usar no meu trabalho.",2 stars,0.389
Sempre foste o meu exemplo de coragem…,5 stars,0.7257
Entrevistador:,4 stars,0.2594
"Obrigado, mãe.",3 stars,0.2996
Foi mesmo bom falar contigo.,3 stars,0.3061
"Agora vou escrever isto tudo e traduzir também, que é para entregar na universidade.",5 stars,0.5029
"Entrevistado: Está bem, meu filho.",5 stars,0.3981
"Depois manda pra eu ver como ficou, sim?",1 star,0.4237
Entrevistador:,4 stars,0.2594
"Deixa-me só tirar uma foto desta chamada, que é pra pôr como registo.",1 star,0.4905
Entrevistado:,4 stars,0.2298
Vai lá.,3 stars,0.3094
"Beijinhos, meu filho.",5 stars,0.571
"Qualquer coisa, estou aqui.",5 stars,0.53
Te amo!,5 stars,0.6196
